,date,acct,path
1,2018-02-07,naver.com,페이스북
2,2018-02-07,gmail.com,"블로그, 페이스북"
3,2018-02-07,gmail.com,홈페이지
4,2018-02-08,nate.com,페이스북
5,2018-02-08,gmail.com,홈페이지홈페이지
6,2018-02-08,naver.com,페이스북
7,2018-02-08,naver.com,블로그
8,2018-02-08,naver.com,페이스북
9,2018-02-09,naver.com,홈페이지
10,2018-02-10,naver.com,페이스북
11,2018-02-12,naver.com,지인의소개
12,2018-02-12,gmail.com,페이스북
13,2018-02-12,naver.com,페이스북
14,2018-02-12,gmail.com,페이스북
15,2018-02-14,naver.com,블로그
16,2018-02-14,gmail.com,"페이스북, 카페 (주식관련네이버카페등)"
17,2018-02-14,naver.com,페이스북
18,2018-02-15,naver.com,블로그
19,2018-02-15,gmail.com,페이스북
20,2018-02-16,allbr.co.kr,페이스북
21,2018-02-16,nate.com,페이스북
22,2018-02-17,naver.com,"직접검색 (네이버, 다음, 구글등), 지인의소개"
23,2018-02-18,naver.com,페이스북
24,2018-02-18,naver.com,페이스북
25,2018-02-18,naver.com,블로그
26,2018-02-19,gmail.com,지인의소개
27,2018-02-19,gmail.com,페이스북
28,2018-02-20,allbr.co.kr,페이스북
29,2018-02-20,gmail.com,페이스북
30,2018-02-20,gmail.com,페이스북
31,2018-02-20,naver.com,페이스북
32,2018-02-21,naver.com,페이스북
33,2018-02-23,gmail.com,페이스북
34,2018-02-23,naver.com,지인의소개
35,2018-02-23,naver.com,페이스북
36,2018-02-23,gmail.com,페이스북
37,2018-02-23,naver.com,페이스북
38,2018-02-24,yahoo.com,페이스북
39,2018-02-24,naver.com,페이스북
40,2018-02-25,nate.com,"페이스북, 지인의소개"
41,2018-02-25,gmail.com,지인의소개
42,2018-02-26,gmail.com,매니져님
43,2018-02-27,hanmail.net,"직접검색 (네이버, 다음, 구글등)"
44,2018-02-27,naver.com,지인의소개
45,2018-02-27,naver.com,블로그
46,2018-03-01,gmail.com,"직접검색 (네이버, 다음, 구글등)"
47,2018-03-02,gmail.com,카페 (주식관련네이버카페등)
48,2018-03-02,gmail.com,페이스북
49,2018-03-03,gmail.com,지인의소개
50,2018-03-03,naver.com,페이스북
51,2018-03-04,yahoo.com,페이스북
52,2018-03-04,daum.net,"직접검색 (네이버, 다음, 구글등)"
53,2018-03-05,gmail.com,페이스북
54,2018-03-05,daum.net,"직접검색 (네이버, 다음, 구글등)"
55,2018-03-05,hanmail.net,카페 (주식관련네이버카페등)
56,2018-03-06,naver.com,"직접검색 (네이버, 다음, 구글등)"
57,2018-03-06,gmail.com,페이스북
58,2018-03-06,naver.com,"블로그, 페이스북"
59,2018-03-07,gmail.com,카페 (주식관련네이버카페등)
60,2018-03-09,gmail.com,페이스북
61,2018-03-12,naver.com,페이스북
62,2018-03-12,gmail.com,페이스북
63,2018-03-12,naver.com,블로그
64,2018-03-13,naver.com,"직접검색 (네이버, 다음, 구글등)"
65,2018-03-13,gmail.com,카페 (주식관련네이버카페등)
66,2018-03-15,naver.com,서핑중우연찮게
67,2018-03-15,naver.com,페이스북
68,2018-03-15,naver.com,페이스북
69,2018-03-16,hanmail.net,카페 (주식관련네이버카페등)
70,2018-03-16,gmail.com,페이스북
71,2018-03-16,gmail.com,페이스북
72,2018-03-16,naver.com,"직접검색 (네이버, 다음, 구글등), 페이스북"
73,2018-03-17,gmail.com,페이스북
74,2018-03-17,gmail.com,페이스북
75,2018-03-18,naver.con,페이스북
76,2018-03-19,naver.com,페이스북
77,2018-03-20,naver.com,페이스북
78,2018-03-22,afotrade.com,페이스북
79,2018-03-22,naver.com,"블로그, 직접검색 (네이버, 다음, 구글등), 페이스북"
80,2018-03-22,daum.net,페이스북
81,2018-03-23,nate.com,페이스북
82,2018-03-23,naver.com,페이스북
83,2018-03-24,hanmail.net,페이스북
84,2018-03-24,naver.com,카페 (주식관련네이버카페등)
85,2018-03-27,naver.com,페이스북
86,2018-03-27,naver.com,페이스북
87,2018-03-28,naver.com,페이스북
88,2018-03-28,naver.com,페이스북
89,2018-03-29,naver.com,"직접검색 (네이버, 다음, 구글등)"
90,2018-04-03,naver.com,페이스북
91,2018-04-03,naver.com,"블로그, 직접검색 (네이버, 다음, 구글등)"
92,2018-04-03,daum.net,블로그
93,2018-04-06,gmail.com,페이스북
94,2018-04-07,gmail.com,주식투자
95,2018-04-09,hanmail.net,트레이딩습득
96,2018-04-14,hanmail.net,"페이스북, 카페 (주식관련네이버카페등)"
97,2018-04-20,gmail.com,"페이스북, 인스타그램"
98,2018-04-20,naver.com,페이스북
99,2018-04-21,naver.com,광고보고
100,2018-04-21,naver.com,페이스북
101,2018-04-21,hanmail.net,페이스북
102,2018-04-22,naver.com,"블로그, 페이스북"
103,2018-04-22,naver.com,"블로그, 페이스북"
104,2018-04-22,gmail.com,"블로그, 카페 (주식관련네이버카페등)"
105,2018-04-23,gmail.com,페이스북
106,2018-04-24,naver.com,페이스북
107,2018-04-24,gmail.com,페이스북
108,2018-04-25,daum.net,페이스북
109,2018-04-25,naver.com,페이스북
110,2018-04-25,naver.com,페이스북
111,2018-04-26,naver.com,페이스북
112,2018-04-26,naver.com,"직접검색 (네이버, 다음, 구글등)"
113,2018-04-26,gmail.com,"직접검색 (네이버, 다음, 구글등)"
114,2018-04-29,naver.com,"블로그, 직접검색 (네이버, 다음, 구글등), 인스타그램, 카페 (주식관련네이버카페등)"
115,2018-05-01,naver.com,인스타그램
116,2018-05-02,naver.com,인스타그램
117,2018-05-05,naver.com,"직접검색 (네이버, 다음, 구글등)"
118,2018-05-06,naver.com,페이스북
119,2018-05-06,naver.com,인스타그램
120,2018-05-06,naver.com,"블로그, 직접검색 (네이버, 다음, 구글등)"
121,2018-05-08,naver.com,sns
122,2018-05-08,naver.com,페이스북
123,2018-05-09,gmail.com,블로그
124,2018-05-10,naver.com,페이스북
125,2018-05-10,hanmail.net,인스타그램
126,2018-05-10,naver.com,인스타그램
127,2018-05-10,gmail.com,페이스북
128,2018-05-12,gmail.com,페이스북
129,2018-05-13,gmail.com,"페이스북, 카페 (주식관련네이버카페등)"
130,2018-05-14,naver.com,인스타그램
131,2018-05-14,hanmail.net,인스타그램
132,2018-05-18,gmail.com,홈페이지홈페이지에서우연히봄
133,2018-05-19,naver.com,페이스북
134,2018-05-19,daum.net,"직접검색 (네이버, 다음, 구글등), 페이스북"
135,2018-05-19,gmail.com,페이스북
136,2018-05-20,gmail.com,페이스북
137,2018-05-20,naver.com,인스타그램
138,2018-05-20,gmail.com,페이스북
139,2018-05-20,naver.com,페이스북
140,2018-05-21,daum.net,인스타그램
141,2018-05-21,naver.com,인스타그램
142,2018-05-23,gmail.com,페이스북
143,2018-05-23,hanmail.net,"페이스북, 인스타그램"
144,2018-05-23,NA,"직접검색 (네이버, 다음, 구글등), 페이스북"
145,2018-05-23,nvaer.com,지인의소개
146,2018-05-24,gmail.com,인스타그램
147,2018-05-25,naver.com,"직접검색 (네이버, 다음, 구글등), 유튜브"
148,2018-05-26,naver.com,블로그
149,2018-05-27,naver.com,"블로그, 페이스북"
150,2018-05-28,gmail.com,페이스북
151,2018-05-28,naver.com,책을보다가추천이있었습니다.
152,2018-05-28,gmail.com,"블로그, 직접검색 (네이버, 다음, 구글등)"
153,2018-05-29,naver.com,인스타그램
154,2018-05-29,naver.com,"직접검색 (네이버, 다음, 구글등)"
155,2018-05-30,gmail.com,홈페이지홈페이지
156,2018-05-30,gmail.com,"페이스북, 인스타그램"
157,2018-06-01,gmail.com,홈페이지뉴스레터를보고
158,2018-06-03,naver.com,가상화페트레이딩강의들으면서홈페이지홈페이지확인
159,2018-06-25,gmail.com,"블로그, 직접검색 (네이버, 다음, 구글등)"
160,2018-06-25,naver.com,홈페이지에서강의를발견했습니다.
161,2018-06-27,naver.com,"블로그, 직접검색 (네이버, 다음, 구글등), 홈페이지에서직접확인"
162,2018-06-30,gmail.com,인스타그램
163,2018-07-02,naver.com,카페 (주식관련네이버카페등)
164,2018-07-03,gmail.com,페이스북
165,2018-07-04,gmail.com,블로그
166,2018-07-05,naver.com,페이스북
167,2018-07-11,naver.com,"직접검색 (네이버, 다음, 구글등)"
168,2018-07-12,naver.com,페이스북
169,2018-07-12,gmail.com,페이스북
170,2018-07-13,hanmail.net,"블로그, 직접검색 (네이버, 다음, 구글등)"
171,2018-07-15,gmail.com,"박상우, “주식시장을이긴전략들” 책에서"
172,2018-07-17,gmail.com,페이스북
173,2018-07-17,gmail.com,"블로그, 페이스북"
174,2018-07-18,naver.con,인스타그램
175,2018-07-18,naver.com,페이스북
176,2018-07-27,gmail.com,지인의소개
177,2018-07-29,naver.com,"직접검색 (네이버, 다음, 구글등)"
178,2018-07-30,naver.com,페이스북
179,2018-07-31,gmail.com,홈페이지
180,2018-08-03,gmail.com,"직접검색 (네이버, 다음, 구글등)"
181,2018-08-05,naver.com,"페이스북, 인스타그램"
182,2018-08-06,naver.com,"직접검색 (네이버, 다음, 구글등)"
183,2018-08-06,gmail.com,홈페이지
184,2018-08-11,gmail.com,"직접검색 (네이버, 다음, 구글등)"
185,2018-08-12,naver.com,페이스북
186,2018-08-12,naver.com,인스타그램
187,2018-08-13,gmail.com,"직접검색 (네이버, 다음, 구글등)"
188,2018-08-13,naver.com,"블로그, 직접검색 (네이버, 다음, 구글등), 카페 (주식관련네이버카페등)"
189,2018-08-13,hanmail.net,페이스북
190,2018-08-14,NA,"블로그, 직접검색 (네이버, 다음, 구글등), 페이스북, 인스타그램, 카페 (주식관련네이버카페등)"
191,2018-08-15,gmail.com,인스타그램
192,2018-08-15,naver.com,"직접검색 (네이버, 다음, 구글등)"
193,2018-08-15,hotmail.com,페이스북
194,2018-08-15,naver.com,페이스북
195,2018-08-16,naver.com,페이스북
196,2018-08-16,hanmail.net,블로그
197,2018-08-18,gmail.com,유투브검색
198,2018-08-20,gmail.com,인스타그램
199,2018-08-22,gmail.com,페이스북
200,2018-08-22,naver.com,"직접검색 (네이버, 다음, 구글등)"
201,2018-08-22,gmail.com,"직접검색 (네이버, 다음, 구글등)"
202,2018-08-25,daum.net,책소개
203,2018-09-13,nomadconnection.com,지인의소개
204,2018-09-17,hanmail.net,"블로그, 직접검색 (네이버, 다음, 구글등)"
205,2018-09-18,hanmail.net,"직접검색 (네이버, 다음, 구글등)"
206,2018-09-19,gmail.com,"네이버에서 ""파이썬퀀트""를검색한이후알게되었습니다."
207,2018-09-19,naver.com,페이스북
208,2018-09-19,hanmauk.net,페이스북
209,2018-09-20,gmail.com,페이스북
210,2018-09-20,naver.com,페이스북
211,2018-09-21,gmail.com,"인스타그램, 카페 (주식관련네이버카페등)"
212,2018-09-21,gmail.com,"직접검색 (네이버, 다음, 구글등)"
213,2018-09-21,hanmail.net,페이스북
214,2018-09-21,gmail.com,홈페이지
215,2018-09-22,naver.com,페이스북
216,2018-09-25,naver.com,블로그
217,2018-09-25,naver.com,페이스북
218,2018-09-26,naver.com,"페이스북, 인스타그램"
219,2018-09-27,gmail.com,페이스북
220,2018-09-27,ajou.ac.kr,페이스북
221,2018-09-29,naver.com,페이스북
222,2018-09-30,naver.com,페이스북
223,2018-10-01,gmail.com,"직접검색 (네이버, 다음, 구글등)"
224,2018-10-01,naver.com,홈페이지를통해서
225,2018-10-01,naver.com,블로그
226,2018-10-04,naver.com,"블로그, 홈페이지"
227,2018-10-06,naver.com,블로그
228,2018-10-06,gmail.com,지인의소개
229,2018-10-06,gmail.com,카페 (주식관련네이버카페등)
230,2018-10-08,naver.com,페이스북
231,2018-10-08,naver.com,페이스북
232,2018-10-10,naver.com,페이스북
233,2018-10-12,gmail.com,홈페이지검색
234,2018-10-14,gmail.com,"블로그, 페이스북"
235,2018-10-15,naver.com,페이스북
236,2018-10-16,gmail.com,인스타그램
237,2018-10-16,gmail.com,"직접검색 (네이버, 다음, 구글등), 인스타그램"
238,2018-10-16,naver.com,지인의소개
239,2018-10-17,gmail.com,페이스북
240,2018-10-22,naver.com,어플
241,2018-10-22,naver.com,"직접검색 (네이버, 다음, 구글등)"
242,2018-10-22,legalinsight.kr,홈페이지홈페이지방문
243,2018-10-22,hanmail.net,페이스북
244,2018-10-23,naver.com,홈페이지
245,2018-10-23,naver.com,"직접검색 (네이버, 다음, 구글등)"
