"","ISO3","OECD_GDP"
"28","IRL",64732.4657312957
"53","LTU",28116.8324283948
"78","EST",27929.4460951238
"103","PRT",28023.6408022262
"157","DNK",45633.2240006386
"182","ESP",33800.7220024413
"212","POL",25998.8480283977
"272","ISL",46934.3762459233
"322","BEL",41807.8707853174
"373","NLD",47480.9748855514
"433","GBR",39096.8239528795
"458","GRC",24130.1501109918
"483","IND",6062.19892920182
"511","CHN",14970.7786740915
"561","MEX",17125.4580252313
"590","DEU",43773.9889618641
"640","TUR",24420.9903568609
"690","USA",53031.0239004724
"740","CAN",43256.7434380663
"765","IDN",11054.8860819349
"790","HUN",25716.8598096195
"840","SWE",45896.926622845
"890","FIN",39561.7039276441
"950","OTO",38796.8750572542
"1000","KOR",36292.95990201
"1050","JPN",38050.0123956893
"1075","ISR",32351.8109649251
"1085","CRI",15255.0492248679
"1145","FRA",37681.8518285667
"1170","BRA",13834.601718395
"1179","SVK",29866.7426593427
"1204","CZE",31864.5125924645
"1238","CHL",21138.104382167
"1298","NOR",60452.8432275365
"1348","AUT",44071.2782990847
"1383","COL",12977.7793960183
"1392","CHE",54634.1758304741
"1452","AUS",43791.4422114178
"1481","NZL",33700.4311122915
"1506","LVA",24243.7033645806
"1524","ZAF",11963.1571898534
"1549","RUS",23546.7410109933
"1569","ARG",18913.23926722
"1598","EA16",38307.9382011163
"1648","LUX",89067.2910935605
"1673","SVN",30407.2537154529
"1723","ITA",34167.7419650275
