,Country,ISO3,Continent,OECD_GDP,GDP_per_Capita,Population,Life.Expectancy,Female,Male,Health.Adjusted
1,Afghanistan,AFG,Asia,NA,572,35530081,60.5,61.9,59.3,52.2
2,Albania,ALB,Europe,NA,4520,2930187,77.8,80.7,75.1,68.8
3,Algeria,DZA,Africa,NA,4225,41318142,75.6,77.5,73.8,66
4,Angola,AGO,Africa,NA,4401,29784193,52.4,54,50.9,45.8
5,Antigua and Barbuda,ATG,North America,NA,16826,102012,76.4,78.6,74.1,67.5
6,Argentina,ARG,South America,18913.23927,14061,44271041,76.3,79.9,72.7,67.6
7,Armenia,ARM,Asia,NA,3690,2930450,74.8,77.7,71.6,66.8
8,Armenia,ARM,Europe,NA,3690,2930450,74.8,77.7,71.6,66.8
9,Australia,AUS,Oceania,43791.44221,56135,24450561,82.8,84.8,80.9,71.9
10,Austria,AUT,Europe,44071.2783,46435,8735453,81.5,83.9,79,72
11,Azerbaijan,AZE,Europe,NA,4097,9827589,72.7,75.8,69.6,64.7
12,Azerbaijan,AZE,Asia,NA,4097,9827589,72.7,75.8,69.6,64.7
13,Bahamas,BHS,North America,NA,24510,395361,76.1,79.1,72.9,66.6
14,Bahrain,BHR,Asia,NA,25169,1492584,76.9,77.9,76.2,67
15,Bangladesh,BGD,Asia,NA,1532,164669751,71.8,73.1,70.6,62.3
16,Barbados,BRB,North America,NA,17158,285719,75.5,77.9,73.1,66.6
17,Belarus,BLR,Europe,NA,5585,9468338,72.3,78,66.5,65.1
18,Belgium,BEL,Europe,41807.87079,43243,11429336,81.1,83.5,78.6,71.1
19,Belize,BLZ,North America,NA,4698,374681,70.1,73.1,67.5,62.3
20,Benin,BEN,Africa,NA,825,11175692,60,61.1,58.8,52.5
21,Bhutan,BTN,Asia,NA,2886,807610,69.8,70.1,69.5,61.2
22,Bosnia and Herzegovina,BIH,Europe,NA,4540,3507017,77.4,79.7,75,68.6
23,Botswana,BWA,Africa,NA,7673,2291661,65.7,68.1,63.3,56.9
24,Brazil,BRA,South America,13834.60172,10019,209288278,75,78.7,71.4,65.5
25,Bulgaria,BGR,Europe,NA,7924,7084571,74.5,78,71.1,66.4
26,Burkina Faso,BFA,Africa,NA,696,19193382,59.9,60.5,59.1,52.6
27,Burundi,BDI,Africa,NA,343,10864245,59.6,61.6,57.7,52.2
28,Cambodia,KHM,Asia,NA,1389,16005373,68.7,70.7,66.6,58.9
29,Cameroon,CMR,Africa,NA,1262,24053727,57.3,58.6,55.9,50.3
30,Canada,CAN,North America,43256.74344,44773,36624199,82.2,84.1,80.2,72.3
31,Central African Republic,CAF,Africa,NA,399,4659080,52.5,54.1,50.9,45.9
32,Chad,TCD,Africa,NA,799,14899994,53.1,54.5,51.7,46.1
33,Chile,CHL,South America,21138.10438,14314,18054726,80.5,83.4,77.4,70.4
